codigo,nombre,capitulo,vigente
016402,RESECCIÓN DE OTRA LESIÓN DE MENINGE CEREBRAL,CapItulo 01 SISTEMA NERVIOSO,1
017001,DRENAJE DE COLECCIONES INTRACEREBRALES- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
017002,DRENAJE DE COLECCIONES INTRACEREBRALES- GUIADO POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
017003,DRENAJE DE COLECCIONES INTRACEREBRALES- POR PUNCIÓN DIRIGIDA,CapItulo 01 SISTEMA NERVIOSO,1
017004,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR- POR CRANEOTOMÍA SUBOCCIPITAL,CapItulo 01 SISTEMA NERVIOSO,1
017005,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR- GUIADO POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
017006,DRENAJE DE COLECCIONES INTRACEREBRALES,CapItulo 01 SISTEMA NERVIOSO,1
017201,RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
017202,RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO- POR CRANEOTOMÍA OSTEOPLÁSTICA,CapItulo 01 SISTEMA NERVIOSO,1
017203,RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO- POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
017204,RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO- CON ESTIMULACIÓN CORTICAL,CapItulo 01 SISTEMA NERVIOSO,1
017205,RESECCIÓN VOLUMÉTRICA DE TUMOR SUPRATENTORIAL HEMISFÉRICO- CON ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
017206,RESECCIÓN DE TUMORES SUPRATENTORIALES HEMISFÉRICOS,CapItulo 01 SISTEMA NERVIOSO,1
017209,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL,CapItulo 01 SISTEMA NERVIOSO,1
017301,RESECCIÓN TUMOR INTRACEREBELOSO- POR CRANEOTOMÍA SUBOCCIPITAL,CapItulo 01 SISTEMA NERVIOSO,1
017302,RESECCIÓN TUMORES INFRATENTORIALES HEMISFÉRICOS,CapItulo 01 SISTEMA NERVIOSO,1
017303,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL,CapItulo 01 SISTEMA NERVIOSO,1
017401,RESECCIÓN DE LESIÓN O TUMOR DE LÍNEA MEDIA SUPRATENTORIAL POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
