codigo_cups,codigo_soat,descripcion_soat,clase,cobertura,uvb,valor_pesos
021101,1106,CRANEOTOMIA PARA RUPTURA DE SENOS DE DURAMADRE,GRUPO,POS,20,3572100
021102,1106,CRANEOTOMIA PARA RUPTURA DE SENOS DE DURAMADRE,GRUPO,POS,20,3572100
021103,1106,CRANEOTOMIA PARA RUPTURA DE SENOS DE DURAMADRE,GRUPO,POS,20,3572100
021104,1106,CRANEOTOMIA PARA RUPTURA DE SENOS DE DURAMADRE,GRUPO,POS,20,3572100
021104,1352,INJERTO DURAL,GRUPO,POS,20,3572100
021105,,SUTURA SIMPLE DE DURAMADRE CEREBRAL,,POS,,
021106,,PLASTIA DURAL CON INJERTO,,POS,,
021201,1351,REPARACION FISTULA LIQUIDO CEFALORRAQUIDEO,GRUPO,POS,20,3572100
021202,1351,REPARACION FISTULA LIQUIDO CEFALORRAQUIDEO,GRUPO,POS,20,3572100
021202,1352,INJERTO DURAL,GRUPO,POS,20,3572100
021203,1351,REPARACION FISTULA LIQUIDO CEFALORRAQUIDEO,GRUPO,POS,20,3572100
021204,1351,REPARACION FISTULA LIQUIDO CEFALORRAQUIDEO,GRUPO,POS,20,3572100
021205,1351,REPARACION FISTULA LIQUIDO CEFALORRAQUIDEO,GRUPO,POS,20,3572100
