codigo_iss,clase,codigo_cups,descripcion,tipo_valor,uvr,valor_pesos
213429,PB,380810,TROMBOLISIS DE ARTERIAS DE MIEMBROS INFERIORES POR VIA ENDOVASCULAR (198),PESOS,,291145
213430,PB,878301,FLEBOGRAFIA DE MIEMBRO SUPERIOR NCOC (60) Tarifa por cada extremidad (60),PESOS,,104360
213430,PB,878401,FLEBOGRAFIA DE MIEMBRO INFERIOR NCOC (60),PESOS,,104360
213431,PB,876241,ANGIOGRAFIA DE VENAS CAVAS O CAVOGRAFIA,PESOS,,95800
213431,PB,877210,FLEBOGRAFIA ABDOMINAL: SISTEMA DE LA VENA PORTA,PESOS,,95800
213432,PB,M21437,ESPLENOPORTOGRAFÍA (240),PESOS,,193220
213433,PB,877214,PORTOGRAFIA TRANSHEPATICA,PESOS,,280685
213434,PB,878933,VENOGRAFIA SELECTIVA (353) APLICA: para la toma de muestras en química sanguínea (353),PESOS,,120455
213435,,877281,FLEBOGRAFIA GONADAL,PESOS,,120425
213436,,387300,INSERCION DE IMPLANTE O FILTRO EN VENA CAVA (SUPERIOR O INFERIOR) SOD,PESOS,,345040
213438,PB,386402,"EXTRACCION DE CUERPO EXTRAÑO INTRAVASCULAR (ARTERIAL) (VENOSO), VIA ENDOVASCULAR [PERCUTANEA]",PESOS,,307965
212441,PB,874800,FARINGOLARINGOGRAFIA SOD,PESOS,,69985
212441,PB,876611,BRONCOGRAFIA UNILATERAL,PESOS,,69985
212441,PB,876612,BRONCOGRAFIA BILATERAL,PESOS,,111970
212442,PB,874700,SIALOGRAFIA NCOC (CUALQUIER GLÁNDULA) (241) Tarifa por glándula (241),PESOS,,107130
212443,PB,876901,GALACTOGRAFIA DE UN CONDUCTO,PESOS,,86290
212443,PB,876902,GALACTOGRAFIA DE MULTIPLES CONDUCTOS,PESOS,,86290
212444,PB,874601,DACRIOCISTOGRAFIA UNILATERAL (350),PESOS,,142120
212444,PB,874602,DACRIOCISTOGRAFIA BILATERAL (350),PESOS,,249255
213445,PB,851301,"LOCALIZACION DE LESION NO PALPABLE, DE MAMA CON ARPON",PESOS,,117790
213446,PB,851101,BIOPSIA POR PUNCION CON AGUJA FINA DE MAMA,PESOS,,94135
213447,,851302,"LOCALIZACION DE LESION NO PALPABLE, DE MAMA POR ESTEREOTAXIA",PESOS,,191280
213449,PB,510400,COLECISTOSTOMIA PERCUTANEA SOD (82),PESOS,,302080
213450,PB,M21450,DILATACION Y COLOCACION DE PROTESIS EN VIA BILIAR (82),PESOS,,356425
213452,,519600,EXTRACCION PERCUTANEA DE CALCULOS EN COLEDOCO SOD,PESOS,,336345
212453,PB,877831,URETEROGRAFIA RETROGRADA A TRAVES DE CATETER O URETEROSTOMIA,PESOS,,76600
212453,PB,877871,URETROGRAFIA RETROGRADA,PESOS,,76600
212454,PB,877851,CISTOGRAFIA CON PROYECCIONES OBLICUAS,PESOS,,76600
212454,PB,877861,URETROCISTOGRAFIA,PESOS,,76600
212454,PB,877862,URETROCISTOGRAFIA MICCIONAL,PESOS,,76600
212454,PB,877863,URETROCISTOGRAFIA RETROGRADA,PESOS,,76600
212455,PB,877940,VAGINOGRAFIA,PESOS,,76600
212456,PB,877901,HISTEROSALPINGOGRAFIA,PESOS,,76600
212456,PB,877902,HISTEROSALPINGOGRAFIA DE CONTRASTE POR GAS.,PESOS,,76600
212456,PB,877903,HISTEROSALPINGOGRAFIA DE CONTRASTE RADIOPACO,PESOS,,76600
212457,,877932,SALPINGOGRAFÌA SELECTIVA CON RECANALIZACION DE TROMPA,PESOS,,248365
212458,PB,877816,PIELOGRAFIA PERCUTANEA,PESOS,,149270
212459,PB,877812,PIELOGRAFIA A TRAVES DE TUBO DE NEFROSTOMIA,PESOS,,120910
213460,PB,550401,NEFROSTOMÍA PERCUTÁNEA CON LITOFRAGMENTACION Y EXTRACCION ENDOSCOPICA EN RIÑON (242),PESOS,,249625
213461,PB,550301,EXTRACCION PERCUTÁNEA [NEFROSCOPICA] DE CALCULOS EN RIÑON (NEFROSTO- LITOTOMIA) Y/O EN PELVIS RENAL (PIELOSTO-LITOTOMIA) (243),PESOS,,389295
213463,,877980,CAVERNOGRAFIA Y CAVERNOMETRIA,PESOS,,271480
213465,,M21510,DRENAJE PERCUTÁNEO DE ABSCESOS O COLECCIONES (325) valor del procedimiento agregar (325),PESOS,,89605
212466,PB,874510,ARTROGRAFIA DE ARTICULACION TEMPORO MANDIBULAR,PESOS,,105650
212466,PB,875601,ARTROGRAFIA CERVICAL,PESOS,,105650
212466,PB,875603,ARTROGRAFIA LUMBAR,PESOS,,105650
212466,PB,878711,ARTROGRAFIA DE HOMBRO,PESOS,,105650
212466,PB,878721,ARTROGRAFIA DE CODO,PESOS,,105650
212466,PB,878731,ARTROGRAFIA DE MUÑECA,PESOS,,105650
212466,PB,878811,ARTROGRAFIA DE PELVIS,PESOS,,105650
212466,PB,878812,ARTROGRAFIA DE RODILLA,PESOS,,105650
212466,PB,878831,ARTROGRAFIA DE TOBILLO,PESOS,,105650
213467,PB,876400,LINFANGIOGRAFIA INTRATORACICA SOD,PESOS,,344270
213467,PB,877301,LINFANGIOGRAFIA ABDOMINAL (UNILATERAL O BILATERAL),PESOS,,344270
213467,PB,877302,LINFANGIOGRAFIA PELVICA (UNILATERAL O BILATERAL),PESOS,,344270
213467,PB,878501,LINFANGIOGRAFIA DE UN MIEMBRO SUPERIOR.,PESOS,,344270
